ABC000,ABC001,ABC002,ABC003,ABC004,ABC005,ABC006,ABC007,ABC008,ABC009,ABC010
23,254,2020-08-19 20:08:39,ABCDEF,"B0010",0.14120495263448585,"00170006",file_023_007.txt,A0001,2,0017000a
24,265,2020-08-19 20:08:40,ABCDEF,"B0010",0.6273363250039261,"00180006",file_024_007.txt,A0001,4,0018000a
25,276,2020-08-19 20:08:41,ABCDEF,"A0001",0.3506305179134874,"00190006",file_025_007.txt,A0001,5,0019000a
26,287,2020-08-19 20:08:42,ABCDEF,"A0001",0.33271818971527545,"001a0006",file_026_007.txt,B0010,4,001a000a
27,298,2020-08-19 20:08:43,ABCDEF,"A0001",0.6954642091892169,"001b0006",file_027_007.txt,A0001,14,001b000a
28,309,2020-08-19 20:08:44,ABCDEF,"B0010",0.3164056884715718,"001c0006",file_028_007.txt,A0001,9,001c000a
29,320,2020-08-19 20:08:45,ABCDEF,"A0001",0.08617374921344334,"001d0006",file_029_007.txt,A0001,6,001d000a
30,331,2020-08-19 20:08:46,ABCDEF,"A0001",0.8698538762910003,"001e0006",file_030_007.txt,A0001,15,001e000a
31,342,2020-08-19 20:08:47,ABCDEF,"A0001",0.7475573160153557,"001f0006",file_031_007.txt,B0010,14,001f000a
32,353,2020-08-19 20:08:48,ABCDEF,"B0010",0.4486557364167717,"00200006",file_032_007.txt,B0010,16,0020000a
33,364,2020-08-19 20:08:49,ABCDEF,"A0001",0.7145882335748898,"00210006",file_033_007.txt,B0010,1,0021000a
34,375,2020-08-19 20:08:50,ABCDEF,"B0010",0.3654432877473073,"00220006",file_034_007.txt,A0001,9,0022000a
35,386,2020-08-19 20:08:51,ABCDEF,"A0001",0.12525473252424035,"00230006",file_035_007.txt,A0001,16,0023000a
36,397,2020-08-19 20:08:52,ABCDEF,"A0001",0.9526630039860164,"00240006",file_036_007.txt,B0010,3,0024000a
37,408,2020-08-19 20:08:53,ABCDEF,"B0010",0.8681173458034647,"00250006",file_037_007.txt,A0001,5,0025000a
38,419,2020-08-19 20:08:54,ABCDEF,"A0001",0.1679978456840061,"00260006",file_038_007.txt,A0001,10,0026000a
39,430,2020-08-19 20:08:55,ABCDEF,"A0001",0.3382219214767278,"00270006",file_039_007.txt,A0001,11,0027000a
40,441,2020-08-19 20:08:56,ABCDEF,"B0010",0.4387683950826988,"00280006",file_040_007.txt,B0010,11,0028000a
41,452,2020-08-19 20:08:57,ABCDEF,"A0001",0.9031955836026232,"00290006",file_041_007.txt,B0010,2,0029000a
42,463,2020-08-19 20:08:58,ABCDEF,"A0001",0.6096004435577308,"002a0006",file_042_007.txt,A0001,5,002a000a
43,474,2020-08-19 20:08:59,ABCDEF,"A0001",0.8488869923823512,"002b0006",file_043_007.txt,A0001,1,002b000a
44,485,2020-08-19 20:09:00,ABCDEF,"A0001",0.022220032292028513,"002c0006",file_044_007.txt,A0001,18,002c000a
45,496,2020-08-19 20:09:01,ABCDEF,"B0010",0.23111142763089665,"002d0006",file_045_007.txt,A0001,12,002d000a
46,507,2020-08-19 20:09:02,ABCDEF,"A0001",0.8458083969759436,"002e0006",file_046_007.txt,B0010,7,002e000a
47,518,2020-08-19 20:09:03,ABCDEF,"A0001",0.9864179324920564,"002f0006",file_047_007.txt,A0001,7,002f000a
48,529,2020-08-19 20:09:04,ABCDEF,"A0001",0.4000402211744791,"00300006",file_048_007.txt,A0001,2,0030000a
49,540,2020-08-19 20:09:05,ABCDEF,"A0001",0.5132199685862862,"00310006",file_049_007.txt,B0010,7,0031000a
50,551,2020-08-19 20:09:06,ABCDEF,"A0001",0.395045679828972,"00320006",file_050_007.txt,B0010,17,0032000a
51,562,2020-08-19 20:09:07,ABCDEF,"B0010",0.8299281005528607,"00330006",file_051_007.txt,A0001,8,0033000a
52,573,2020-08-19 20:09:08,ABCDEF,"A0001",0.09315805903737451,"00340006",file_052_007.txt,A0001,6,0034000a
53,584,2020-08-19 20:09:09,ABCDEF,"A0001",0.4886250486827284,"00350006",file_053_007.txt,A0001,3,0035000a
54,595,2020-08-19 20:09:10,ABCDEF,"B0010",0.8700656961418243,"00360006",file_054_007.txt,A0001,12,0036000a
55,606,2020-08-19 20:09:11,ABCDEF,"A0001",0.6288374742686457,"00370006",file_055_007.txt,B0010,13,0037000a
56,617,2020-08-19 20:09:12,ABCDEF,"B0010",0.5769818020301486,"00380006",file_056_007.txt,B0010,3,0038000a
57,628,2020-08-19 20:09:13,ABCDEF,"B0010",0.4668659732989534,"00390006",file_057_007.txt,A0001,13,0039000a
58,639,2020-08-19 20:09:14,ABCDEF,"A0001",0.4373311760229195,"003a0006",file_058_007.txt,A0001,18,003a000a
59,650,2020-08-19 20:09:15,ABCDEF,"A0001",0.28737303689652993,"003b0006",file_059_007.txt,A0001,15,003b000a
60,661,2020-08-19 20:09:16,ABCDEF,"A0001",0.013084310402845745,"003c0006",file_060_007.txt,A0001,10,003c000a
61,672,2020-08-19 20:09:17,ABCDEF,"A0001",0.9113900093922439,"003d0006",file_061_007.txt,B0010,4,003d000a
62,683,2020-08-19 20:09:18,ABCDEF,"A0001",0.8658352158530874,"003e0006",file_062_007.txt,B0010,5,003e000a
63,694,2020-08-19 20:09:19,ABCDEF,"A0001",0.3296067491755298,"003f0006",file_063_007.txt,B0010,5,003f000a
64,705,2020-08-19 20:09:20,ABCDEF,"A0001",0.4913094120806505,"00400006",file_064_007.txt,B0010,2,0040000a
65,716,2020-08-19 20:09:21,ABCDEF,"A0001",0.781924965242582,"00410006",file_065_007.txt,A0001,12,0041000a
66,727,2020-08-19 20:09:22,ABCDEF,"A0001",0.866635370093715,"00420006",file_066_007.txt,A0001,13,0042000a
67,738,2020-08-19 20:09:23,ABCDEF,"A0001",0.42319870023924566,"00430006",file_067_007.txt,A0001,6,0043000a
68,749,2020-08-19 20:09:24,ABCDEF,"B0010",0.20573614463726886,"00440006",file_068_007.txt,B0010,15,0044000a
69,760,2020-08-19 20:09:25,ABCDEF,"B0010",0.6032026591251813,"00450006",file_069_007.txt,A0001,7,0045000a
70,771,2020-08-19 20:09:26,ABCDEF,"B0010",0.1494372995799952,"00460006",file_070_007.txt,B0010,16,0046000a
71,782,2020-08-19 20:09:27,ABCDEF,"A0001",0.4162450414940204,"00470006",file_071_007.txt,B0010,16,0047000a
72,793,2020-08-19 20:09:28,ABCDEF,"B0010",0.4411397985143134,"00480006",file_072_007.txt,B0010,4,0048000a
73,804,2020-08-19 20:09:29,ABCDEF,"A0001",0.7589732547150654,"00490006",file_073_007.txt,A0001,16,0049000a
74,815,2020-08-19 20:09:30,ABCDEF,"B0010",0.5358909071859052,"004a0006",file_074_007.txt,B0010,7,004a000a
75,826,2020-08-19 20:09:31,ABCDEF,"B0010",0.7119534645344335,"004b0006",file_075_007.txt,A0001,16,004b000a
76,837,2020-08-19 20:09:32,ABCDEF,"A0001",0.9870929430669378,"004c0006",file_076_007.txt,A0001,1,004c000a
77,848,2020-08-19 20:09:33,ABCDEF,"A0001",0.6745065943060777,"004d0006",file_077_007.txt,A0001,6,004d000a
78,859,2020-08-19 20:09:34,ABCDEF,"A0001",0.38192396181597243,"004e0006",file_078_007.txt,B0010,7,004e000a
79,870,2020-08-19 20:09:35,ABCDEF,"B0010",0.277965920000364,"004f0006",file_079_007.txt,B0010,16,004f000a
80,881,2020-08-19 20:09:36,ABCDEF,"B0010",0.663241394781689,"00500006",file_080_007.txt,A0001,14,0050000a
81,892,2020-08-19 20:09:37,ABCDEF,"A0001",0.20027314214363068,"00510006",file_081_007.txt,A0001,2,0051000a
82,903,2020-08-19 20:09:38,ABCDEF,"A0001",0.9477192251197682,"00520006",file_082_007.txt,B0010,5,0052000a
83,914,2020-08-19 20:09:39,ABCDEF,"B0010",0.4220095618513654,"00530006",file_083_007.txt,A0001,12,0053000a
84,925,2020-08-19 20:09:40,ABCDEF,"A0001",0.9947839745235388,"00540006",file_084_007.txt,A0001,17,0054000a
85,936,2020-08-19 20:09:41,ABCDEF,"A0001",0.5880154490561773,"00550006",file_085_007.txt,B0010,7,0055000a
86,947,2020-08-19 20:09:42,ABCDEF,"A0001",0.4935064357801521,"00560006",file_086_007.txt,A0001,2,0056000a
87,958,2020-08-19 20:09:43,ABCDEF,"A0001",0.8447561764003029,"00570006",file_087_007.txt,A0001,11,0057000a
88,969,2020-08-19 20:09:44,ABCDEF,"A0001",0.7154699371492548,"00580006",file_088_007.txt,A0001,8,0058000a
89,980,2020-08-19 20:09:45,ABCDEF,"A0001",0.7410871542870615,"00590006",file_089_007.txt,A0001,9,0059000a
90,991,2020-08-19 20:09:46,ABCDEF,"A0001",0.6445211279682118,"005a0006",file_090_007.txt,A0001,5,005a000a
91,1002,2020-08-19 20:09:47,ABCDEF,"A0001",0.10318898838374435,"005b0006",file_091_007.txt,A0001,5,005b000a
92,1013,2020-08-19 20:09:48,ABCDEF,"A0001",0.07684668608272549,"005c0006",file_092_007.txt,B0010,16,005c000a
93,1024,2020-08-19 20:09:49,ABCDEF,"A0001",0.41680142276423526,"005d0006",file_093_007.txt,B0010,4,005d000a
94,1035,2020-08-19 20:09:50,ABCDEF,"A0001",0.12292802896619592,"005e0006",file_094_007.txt,B0010,18,005e000a
95,1046,2020-08-19 20:09:51,ABCDEF,"A0001",0.20325385114325645,"005f0006",file_095_007.txt,A0001,11,005f000a
96,1057,2020-08-19 20:09:52,ABCDEF,"A0001",0.7880160948696843,"00600006",file_096_007.txt,A0001,12,0060000a
97,1068,2020-08-19 20:09:53,ABCDEF,"A0001",0.25806017969888784,"00610006",file_097_007.txt,A0001,10,0061000a
98,1079,2020-08-19 20:09:54,ABCDEF,"B0010",0.004259263329383645,"00620006",file_098_007.txt,B0010,15,0062000a
99,1090,2020-08-19 20:09:55,ABCDEF,"B0010",0.18067885646625315,"00630006",file_099_007.txt,B0010,15,0063000a
100,1101,2020-08-19 20:09:56,ABCDEF,"A0001",0.8252534318777403,"00640006",file_100_007.txt,B0010,12,0064000a
101,1112,2020-08-19 20:09:57,ABCDEF,"A0001",0.3755810527850043,"00650006",file_101_007.txt,B0010,13,0065000a
102,1123,2020-08-19 20:09:58,ABCDEF,"A0001",0.22360212548823566,"00660006",file_102_007.txt,B0010,13,0066000a
103,1134,2020-08-19 20:09:59,ABCDEF,"B0010",0.7843440834711477,"00670006",file_103_007.txt,B0010,16,0067000a
104,1145,2020-08-19 20:10:00,ABCDEF,"A0001",0.2817619136466485,"00680006",file_104_007.txt,B0010,10,0068000a
105,1156,2020-08-19 20:10:01,ABCDEF,"B0010",0.56796010790286,"00690006",file_105_007.txt,B0010,12,0069000a
106,1167,2020-08-19 20:10:02,ABCDEF,"B0010",0.5416714113607678,"006a0006",file_106_007.txt,B0010,6,006a000a
107,1178,2020-08-19 20:10:03,ABCDEF,"A0001",0.9077624729509108,"006b0006",file_107_007.txt,A0001,16,006b000a
108,1189,2020-08-19 20:10:04,ABCDEF,"A0001",0.5375077161823735,"006c0006",file_108_007.txt,B0010,3,006c000a
109,1200,2020-08-19 20:10:05,ABCDEF,"A0001",0.6028634040123363,"006d0006",file_109_007.txt,A0001,3,006d000a
110,1211,2020-08-19 20:10:06,ABCDEF,"A0001",0.8274259565613727,"006e0006",file_110_007.txt,A0001,10,006e000a
111,1222,2020-08-19 20:10:07,ABCDEF,"A0001",0.5822710921495966,"006f0006",file_111_007.txt,B0010,7,006f000a
112,1233,2020-08-19 20:10:08,ABCDEF,"A0001",0.020825901167005334,"00700006",file_112_007.txt,B0010,3,0070000a
113,1244,2020-08-19 20:10:09,ABCDEF,"A0001",0.08495440107998509,"00710006",file_113_007.txt,A0001,2,0071000a
114,1255,2020-08-19 20:10:10,ABCDEF,"A0001",0.46061481964203843,"00720006",file_114_007.txt,A0001,9,0072000a
115,1266,2020-08-19 20:10:11,ABCDEF,"A0001",0.8529830808468831,"00730006",file_115_007.txt,B0010,14,0073000a
116,1277,2020-08-19 20:10:12,ABCDEF,"B0010",0.2278148394246956,"00740006",file_116_007.txt,B0010,8,0074000a
117,1288,2020-08-19 20:10:13,ABCDEF,"A0001",0.6389539263701512,"00750006",file_117_007.txt,A0001,7,0075000a
118,1299,2020-08-19 20:10:14,ABCDEF,"A0001",0.3819495371321264,"00760006",file_118_007.txt,A0001,11,0076000a
119,1310,2020-08-19 20:10:15,ABCDEF,"A0001",0.059358731951842936,"00770006",file_119_007.txt,A0001,9,0077000a
120,1321,2020-08-19 20:10:16,ABCDEF,"A0001",0.6428012359104933,"00780006",file_120_007.txt,A0001,9,0078000a
121,1332,2020-08-19 20:10:17,ABCDEF,"B0010",0.8789646599139956,"00790006",file_121_007.txt,B0010,13,0079000a
122,1343,2020-08-19 20:10:18,ABCDEF,"A0001",0.8461543555404845,"007a0006",file_122_007.txt,A0001,16,007a000a
123,1354,2020-08-19 20:10:19,ABCDEF,"A0001",0.012887878576974265,"007b0006",file_123_007.txt,B0010,14,007b000a
124,1365,2020-08-19 20:10:20,ABCDEF,"B0010",0.37626315083001594,"007c0006",file_124_007.txt,A0001,17,007c000a
125,1376,2020-08-19 20:10:21,ABCDEF,"A0001",0.1825024442900235,"007d0006",file_125_007.txt,B0010,2,007d000a
126,1387,2020-08-19 20:10:22,ABCDEF,"A0001",0.012042192401464757,"007e0006",file_126_007.txt,B0010,18,007e000a
127,1398,2020-08-19 20:10:23,ABCDEF,"A0001",0.41342200487589975,"007f0006",file_127_007.txt,A0001,11,007f000a
128,1409,2020-08-19 20:10:24,ABCDEF,"A0001",0.7687204039829955,"00800006",file_128_007.txt,A0001,11,0080000a
129,1420,2020-08-19 20:10:25,ABCDEF,"B0010",0.21321249582739144,"00810006",file_129_007.txt,A0001,9,0081000a
130,1431,2020-08-19 20:10:26,ABCDEF,"A0001",0.7420841648179913,"00820006",file_130_007.txt,A0001,7,0082000a
131,1442,2020-08-19 20:10:27,ABCDEF,"A0001",0.6196619508522143,"00830006",file_131_007.txt,A0001,4,0083000a
132,1453,2020-08-19 20:10:28,ABCDEF,"A0001",0.8681551940676927,"00840006",file_132_007.txt,A0001,12,0084000a
133,1464,2020-08-19 20:10:29,ABCDEF,"A0001",0.1410455200286339,"00850006",file_133_007.txt,A0001,13,0085000a
134,1475,2020-08-19 20:10:30,ABCDEF,"B0010",0.24619391854627626,"00860006",file_134_007.txt,A0001,1,0086000a
135,1486,2020-08-19 20:10:31,ABCDEF,"A0001",0.21004300597233028,"00870006",file_135_007.txt,B0010,17,0087000a
136,1497,2020-08-19 20:10:32,ABCDEF,"B0010",0.1828198577922645,"00880006",file_136_007.txt,B0010,7,0088000a
137,1508,2020-08-19 20:10:33,ABCDEF,"A0001",0.8238574334965836,"00890006",file_137_007.txt,B0010,13,0089000a
138,1519,2020-08-19 20:10:34,ABCDEF,"A0001",0.05374140407718753,"008a0006",file_138_007.txt,A0001,16,008a000a
139,1530,2020-08-19 20:10:35,ABCDEF,"A0001",0.8150363462843622,"008b0006",file_139_007.txt,B0010,15,008b000a
140,1541,2020-08-19 20:10:36,ABCDEF,"A0001",0.044258123048605325,"008c0006",file_140_007.txt,A0001,14,008c000a
141,1552,2020-08-19 20:10:37,ABCDEF,"A0001",0.6312644342014012,"008d0006",file_141_007.txt,A0001,11,008d000a
142,1563,2020-08-19 20:10:38,ABCDEF,"A0001",0.7069030074110275,"008e0006",file_142_007.txt,A0001,16,008e000a
143,1574,2020-08-19 20:10:39,ABCDEF,"B0010",0.1407177686251695,"008f0006",file_143_007.txt,B0010,11,008f000a
144,1585,2020-08-19 20:10:40,ABCDEF,"A0001",0.9737063983946154,"00900006",file_144_007.txt,B0010,18,0090000a
145,1596,2020-08-19 20:10:41,ABCDEF,"A0001",0.8593840743858757,"00910006",file_145_007.txt,B0010,11,0091000a
146,1607,2020-08-19 20:10:42,ABCDEF,"A0001",0.02843949642711785,"00920006",file_146_007.txt,A0001,7,0092000a
147,1618,2020-08-19 20:10:43,ABCDEF,"A0001",0.025826678388092383,"00930006",file_147_007.txt,B0010,7,0093000a
148,1629,2020-08-19 20:10:44,ABCDEF,"A0001",0.9851697271499759,"00940006",file_148_007.txt,A0001,4,0094000a
149,1640,2020-08-19 20:10:45,ABCDEF,"A0001",0.45005742083163924,"00950006",file_149_007.txt,A0001,11,0095000a
150,1651,2020-08-19 20:10:46,ABCDEF,"A0001",0.6336601093523706,"00960006",file_150_007.txt,A0001,4,0096000a
151,1662,2020-08-19 20:10:47,ABCDEF,"A0001",0.592561447949688,"00970006",file_151_007.txt,A0001,4,0097000a
152,1673,2020-08-19 20:10:48,ABCDEF,"A0001",0.07146730806388701,"00980006",file_152_007.txt,A0001,3,0098000a
153,1684,2020-08-19 20:10:49,ABCDEF,"A0001",0.9504473975965262,"00990006",file_153_007.txt,B0010,13,0099000a
154,1695,2020-08-19 20:10:50,ABCDEF,"A0001",0.5190007261510472,"009a0006",file_154_007.txt,A0001,18,009a000a
155,1706,2020-08-19 20:10:51,ABCDEF,"A0001",0.7976462439286693,"009b0006",file_155_007.txt,A0001,6,009b000a
156,1717,2020-08-19 20:10:52,ABCDEF,"A0001",0.5441010661540161,"009c0006",file_156_007.txt,A0001,17,009c000a
157,1728,2020-08-19 20:10:53,ABCDEF,"A0001",0.585245384090065,"009d0006",file_157_007.txt,A0001,12,009d000a
158,1739,2020-08-19 20:10:54,ABCDEF,"A0001",0.4876600506584392,"009e0006",file_158_007.txt,A0001,18,009e000a
159,1750,2020-08-19 20:10:55,ABCDEF,"A0001",0.4303464824911335,"009f0006",file_159_007.txt,A0001,9,009f000a
160,1761,2020-08-19 20:10:56,ABCDEF,"B0010",0.2551949765057012,"00a00006",file_160_007.txt,B0010,3,00a0000a
161,1772,2020-08-19 20:10:57,ABCDEF,"A0001",0.44256029934537733,"00a10006",file_161_007.txt,A0001,8,00a1000a
162,1783,2020-08-19 20:10:58,ABCDEF,"A0001",0.05122881151244285,"00a20006",file_162_007.txt,A0001,6,00a2000a
163,1794,2020-08-19 20:10:59,ABCDEF,"A0001",0.30890995499606,"00a30006",file_163_007.txt,A0001,12,00a3000a
164,1805,2020-08-19 20:11:00,ABCDEF,"A0001",0.8927391033958981,"00a40006",file_164_007.txt,B0010,17,00a4000a
165,1816,2020-08-19 20:11:01,ABCDEF,"A0001",0.35953691260499976,"00a50006",file_165_007.txt,A0001,2,00a5000a
166,1827,2020-08-19 20:11:02,ABCDEF,"A0001",0.4380303666492207,"00a60006",file_166_007.txt,A0001,18,00a6000a
167,1838,2020-08-19 20:11:03,ABCDEF,"A0001",0.7746392635559612,"00a70006",file_167_007.txt,B0010,12,00a7000a
168,1849,2020-08-19 20:11:04,ABCDEF,"A0001",0.7738687766913805,"00a80006",file_168_007.txt,B0010,10,00a8000a
169,1860,2020-08-19 20:11:05,ABCDEF,"A0001",0.2744963699665761,"00a90006",file_169_007.txt,A0001,9,00a9000a
170,1871,2020-08-19 20:11:06,ABCDEF,"A0001",0.4351265403278436,"00aa0006",file_170_007.txt,A0001,11,00aa000a
171,1882,2020-08-19 20:11:07,ABCDEF,"A0001",0.8241627300232849,"00ab0006",file_171_007.txt,B0010,9,00ab000a
172,1893,2020-08-19 20:11:08,ABCDEF,"A0001",0.6227756475474298,"00ac0006",file_172_007.txt,B0010,1,00ac000a
173,1904,2020-08-19 20:11:09,ABCDEF,"A0001",0.2562974615869583,"00ad0006",file_173_007.txt,A0001,12,00ad000a
174,1915,2020-08-19 20:11:10,ABCDEF,"A0001",0.7537423256461374,"00ae0006",file_174_007.txt,A0001,9,00ae000a
175,1926,2020-08-19 20:11:11,ABCDEF,"A0001",0.1776060333276629,"00af0006",file_175_007.txt,A0001,6,00af000a
176,1937,2020-08-19 20:11:12,ABCDEF,"A0001",0.14600894594937086,"00b00006",file_176_007.txt,B0010,6,00b0000a
177,1948,2020-08-19 20:11:13,ABCDEF,"A0001",0.34742908523658533,"00b10006",file_177_007.txt,A0001,12,00b1000a
178,1959,2020-08-19 20:11:14,ABCDEF,"A0001",0.23451659318373075,"00b20006",file_178_007.txt,B0010,14,00b2000a
179,1970,2020-08-19 20:11:15,ABCDEF,"B0010",0.8448942347222755,"00b30006",file_179_007.txt,A0001,12,00b3000a
180,1981,2020-08-19 20:11:16,ABCDEF,"B0010",0.707007457361774,"00b40006",file_180_007.txt,A0001,4,00b4000a
181,1992,2020-08-19 20:11:17,ABCDEF,"A0001",0.3804142829397622,"00b50006",file_181_007.txt,A0001,2,00b5000a
182,2003,2020-08-19 20:11:18,ABCDEF,"A0001",0.35331901581790903,"00b60006",file_182_007.txt,B0010,2,00b6000a
183,2014,2020-08-19 20:11:19,ABCDEF,"A0001",0.4296777230999048,"00b70006",file_183_007.txt,A0001,4,00b7000a
184,2025,2020-08-19 20:11:20,ABCDEF,"A0001",0.14201809809903554,"00b80006",file_184_007.txt,A0001,16,00b8000a
185,2036,2020-08-19 20:11:21,ABCDEF,"A0001",0.893749267056965,"00b90006",file_185_007.txt,B0010,13,00b9000a
186,2047,2020-08-19 20:11:22,ABCDEF,"A0001",0.5893980278879528,"00ba0006",file_186_007.txt,A0001,6,00ba000a
187,2058,2020-08-19 20:11:23,ABCDEF,"A0001",0.5650765925128771,"00bb0006",file_187_007.txt,A0001,6,00bb000a
188,2069,2020-08-19 20:11:24,ABCDEF,"A0001",0.4889006232790951,"00bc0006",file_188_007.txt,B0010,4,00bc000a
189,2080,2020-08-19 20:11:25,ABCDEF,"A0001",0.2994335872977054,"00bd0006",file_189_007.txt,A0001,11,00bd000a
190,2091,2020-08-19 20:11:26,ABCDEF,"B0010",0.19108227515568443,"00be0006",file_190_007.txt,B0010,2,00be000a
191,2102,2020-08-19 20:11:27,ABCDEF,"A0001",0.19032258055877616,"00bf0006",file_191_007.txt,A0001,10,00bf000a
192,2113,2020-08-19 20:11:28,ABCDEF,"A0001",0.9684283953971653,"00c00006",file_192_007.txt,B0010,8,00c0000a
193,2124,2020-08-19 20:11:29,ABCDEF,"A0001",0.4498036611632026,"00c10006",file_193_007.txt,B0010,10,00c1000a
194,2135,2020-08-19 20:11:30,ABCDEF,"A0001",0.9032592829585392,"00c20006",file_194_007.txt,A0001,4,00c2000a
195,2146,2020-08-19 20:11:31,ABCDEF,"A0001",0.43963982124572953,"00c30006",file_195_007.txt,A0001,8,00c3000a
196,2157,2020-08-19 20:11:32,ABCDEF,"A0001",0.6322905985372687,"00c40006",file_196_007.txt,B0010,5,00c4000a
197,2168,2020-08-19 20:11:33,ABCDEF,"B0010",0.047681692964203104,"00c50006",file_197_007.txt,A0001,9,00c5000a
198,2179,2020-08-19 20:11:34,ABCDEF,"A0001",0.0236064087689819,"00c60006",file_198_007.txt,B0010,4,00c6000a
199,2190,2020-08-19 20:11:35,ABCDEF,"A0001",0.6405745371873475,"00c70006",file_199_007.txt,B0010,12,00c7000a
200,2201,2020-08-19 20:11:36,ABCDEF,"A0001",0.8702286194469852,"00c80006",file_200_007.txt,B0010,7,00c8000a
201,2212,2020-08-19 20:11:37,ABCDEF,"B0010",0.24995685258316624,"00c90006",file_201_007.txt,A0001,3,00c9000a
202,2223,2020-08-19 20:11:38,ABCDEF,"A0001",0.4915577587001403,"00ca0006",file_202_007.txt,A0001,10,00ca000a
203,2234,2020-08-19 20:11:39,ABCDEF,"A0001",0.2093452153120383,"00cb0006",file_203_007.txt,B0010,9,00cb000a
204,2245,2020-08-19 20:11:40,ABCDEF,"A0001",0.8709510065892729,"00cc0006",file_204_007.txt,A0001,8,00cc000a
205,2256,2020-08-19 20:11:41,ABCDEF,"B0010",0.43225175651850467,"00cd0006",file_205_007.txt,B0010,17,00cd000a
206,2267,2020-08-19 20:11:42,ABCDEF,"A0001",0.4523442957831363,"00ce0006",file_206_007.txt,B0010,16,00ce000a
207,2278,2020-08-19 20:11:43,ABCDEF,"A0001",0.8978454181877124,"00cf0006",file_207_007.txt,A0001,14,00cf000a
208,2289,2020-08-19 20:11:44,ABCDEF,"A0001",0.696703099791303,"00d00006",file_208_007.txt,A0001,10,00d0000a
209,2300,2020-08-19 20:11:45,ABCDEF,"A0001",0.6428066076519865,"00d10006",file_209_007.txt,A0001,16,00d1000a
210,2311,2020-08-19 20:11:46,ABCDEF,"B0010",0.6313908460869878,"00d20006",file_210_007.txt,A0001,11,00d2000a
211,2322,2020-08-19 20:11:47,ABCDEF,"A0001",0.347167455529231,"00d30006",file_211_007.txt,B0010,6,00d3000a
212,2333,2020-08-19 20:11:48,ABCDEF,"B0010",0.35787765548352923,"00d40006",file_212_007.txt,B0010,3,00d4000a
213,2344,2020-08-19 20:11:49,ABCDEF,"B0010",0.2105267051407348,"00d50006",file_213_007.txt,B0010,8,00d5000a
214,2355,2020-08-19 20:11:50,ABCDEF,"A0001",0.8010727390416881,"00d60006",file_214_007.txt,B0010,18,00d6000a
